year,month,route,monthly_flight_count
2015,2,pdx-lih,16
2015,2,ewr-bos,320
2015,2,rsw-msp,134
2015,2,atl-pns,179
2015,2,ewr-dtw,209
2015,2,alb-atl,78
2015,2,las-dtw,238
2015,2,btr-dfw,222
2015,2,bna-tpa,104
2015,2,mco-bna,113
2015,2,mem-mdw,48
2015,2,msn-slc,16
2015,2,rsw-clt,176
2015,2,iad-syr,9
2015,2,jac-iah,6
2015,1,lax-den,495
2015,1,imt-msp,31
2015,1,slc-rap,30
2015,1,psp-iah,36
2015,1,san-sfo,567
2015,1,slc-btm,62
2015,1,pwm-clt,31
2015,1,bwi-mem,31
2015,1,msp-stl,181
2015,1,sat-mco,31
2015,1,hou-elp,81
2015,1,ord-eri,58
2015,1,ttn-cvg,3
2015,1,pbi-ttn,13
2015,1,ord-azo,118
2015,1,sju-mia,217
2015,1,sea-msy,31
2015,1,msp-tus,19
2015,1,phl-msp,175
2015,1,lih-sjc,18
2015,1,alb-iad,3
2015,1,lga-eyw,1
2015,2,atl-lit,153
2015,2,sea-msp,160
2015,2,bos-slc,44
2015,2,dfw-grk,248
2015,2,grk-dfw,248
2015,2,cmh-iad,10
2015,2,iah-den,391
2015,2,san-sfo,522
2015,2,bhm-dal,72
2015,2,day-mco,28
2015,2,hou-pns,28
2015,2,oak-ont,180
2015,2,dlh-ord,84
2015,2,dtw-dsm,31
2015,2,cvg-msn,11
2015,2,slc-lws,48
2015,1,las-mci,148
2015,1,fll-lbe,31
2015,1,slc-hln,79
2015,1,mso-den,35
2015,1,mia-ord,389
2015,1,oak-phx,230
2015,1,aus-phx,139
2015,1,lax-msy,163
2015,1,mke-phx,116
2015,1,rdu-mco,92
2015,1,tpa-msy,86
2015,1,hou-mdw,149
2015,1,ont-mdw,31
2015,1,jax-iah,63
2015,1,atl-ecp,167
2015,1,dfw-maf,213
2015,1,lbb-dfw,119
2015,1,day-lga,56
2015,1,lax-dca,93
2015,1,dfw-cos,59
2015,1,cvg-lax,34
2015,2,san-dfw,276
2015,2,iah-mia,244
2015,2,lga-dfw,378
2015,2,iad-dfw,81
2015,2,stl-lax,103
2015,2,sna-pdx,72
2015,2,pdx-jfk,44
2015,2,oak-slc,186
2015,2,lax-dtw,155
2015,2,sna-atl,80
2015,2,lax-phx,618
2015,2,cvg-mco,83
2015,2,pdx-bos,20
2015,2,fll-sea,28
2015,2,sfo-sea,525
2015,2,ewr-gsp,52
2015,2,atl-mlu,101
2015,2,ord-gsp,41
2015,2,ord-rst,112
2015,2,bur-den,103
2015,2,dca-ind,56
2015,2,tpa-alb,32
2015,2,pdx-sba,28
2015,2,slc-far,11
2015,2,iah-cle,116
2015,2,psp-iah,28
2015,2,clt-ind,48
2015,2,lax-bzn,21
2015,2,lga-ind,1
2015,1,den-sun,9
2015,1,bwi-msy,65
2015,1,mdw-ont,31
2015,1,oak-den,109
2015,1,phx-msy,32
2015,1,stl-rdu,35
2015,1,atl-fay,157
2015,1,den-cvg,61
2015,1,dtw-pit,54
2015,1,msp-msn,61
2015,1,elm-atl,3
2015,1,rap-atl,3
2015,2,iad-bos,121
2015,2,atl-cmh,254
2015,2,dtw-pit,66
2015,2,fwa-atl,71
2015,2,iad-pbi,16
2015,2,mco-cle,103
2015,2,mke-rsw,64
2015,2,ogg-sfo,105
2015,2,bwi-mco,260
