year,month,route,monthly_flight_count
2015,1,sju-fll,271
2015,1,slc-ord,231
2015,1,cos-sea,31
2015,1,pdx-ont,65
2015,1,boi-ord,36
2015,1,sbn-ord,113
2015,1,ord-sbn,113
2015,1,mdw-dal,182
2015,1,sna-las,228
2015,1,iad-dtw,37
2015,1,roa-ord,21
2015,1,gnv-atl,172
2015,1,dtw-msn,107
2015,1,jfk-rsw,160
2015,1,gsp-iad,6
2015,1,sfo-hdn,5
2015,1,jac-jfk,2
2015,2,mco-ord,379
2015,2,dfw-mci,211
2015,2,mia-iad,59
2015,2,pit-bos,74
2015,2,dtw-pbi,32
2015,2,slc-jac,80
2015,2,atl-sju,143
2015,2,fsd-atl,27
2015,2,ord-slc,192
2015,2,dfw-mlu,78
2015,2,cae-iah,24
2015,2,ewr-chs,54
2015,2,gtr-atl,78
2015,2,ric-msp,27
2015,2,msp-sat,15
2015,2,mht-lga,35
2015,2,ord-crw,28
2015,2,bna-jfk,28
2015,2,las-geg,56
2015,2,gjt-phx,81
2015,2,sat-ord,76
2015,2,sfo-cvg,18
2015,2,ase-msp,4
2015,1,dtw-lax,181
2015,1,mco-lbe,31
2015,1,cvg-den,52
2015,1,hnl-den,31
2015,1,clt-pvd,102
2015,1,den-tpa,169
2015,1,isp-fll,66
2015,1,jax-den,31
2015,1,las-sna,229
2015,1,mdw-buf,67
2015,1,roc-mdw,55
2015,1,tpa-bna,113
2015,1,iad-roc,50
2015,1,ord-lex,142
2015,1,iah-ric,57
2015,1,sav-iad,61
2015,1,atl-gpt,124
2015,1,msp-ege,1
2015,2,ont-dfw,104
2015,2,lax-ogg,196
2015,2,lih-lax,92
2015,2,cle-dfw,155
2015,2,sea-dtw,135
2015,2,san-hnl,52
2015,2,rsw-hpn,28
2015,2,pbi-atl,323
2015,2,san-dtw,49
2015,2,den-dik,48
2015,2,ord-dbq,76
2015,2,las-san,340
2015,2,ecp-hou,28
2015,2,phx-stl,150
2015,2,rdu-las,28
2015,2,cos-slc,52
2015,2,iad-lga,96
2015,2,sfo-rdu,27
2015,2,ric-clt,98
