year,month,route,monthly_flight_count
2015,1,cvg-ord,328
2015,1,dsm-ord,303
2015,1,sea-fat,64
2015,1,bzn-sfo,5
2015,1,hnl-ewr,31
2015,1,phl-sfo,178
2015,1,sfo-fll,136
2015,1,fll-stl,67
2015,1,hou-clt,31
2015,1,mci-lax,63
2015,1,mco-mht,66
2015,1,mke-tpa,58
2015,1,sat-bna,55
2015,1,smf-las,234
2015,1,stl-msp,177
2015,1,pdx-phx,252
2015,1,ewr-grr,49
2015,1,atl-vps,171
2015,1,vps-dfw,146
2015,1,mia-orf,61
2015,1,pns-mia,93
2015,1,hdn-dfw,40
2015,1,anc-fai,31
2015,1,bqn-mco,43
2015,1,far-msp,135
2015,2,lax-ind,44
2015,2,atl-bdl,226
2015,2,fll-msp,98
2015,2,ege-atl,28
2015,2,mci-msp,101
2015,2,sea-phl,55
2015,2,ktn-sit,28
2015,2,shv-iah,113
2015,2,bna-den,160
2015,2,ord-mdt,104
2015,2,dfw-gck,56
2015,2,fll-mco,56
2015,2,bhm-bwi,51
2015,2,oak-hou,48
2015,2,iad-stt,16
2015,2,cvg-bna,42
2015,1,lax-san,556
2015,1,okc-msp,36
2015,1,mli-den,37
2015,1,iah-sfo,293
2015,1,bos-bna,31
2015,1,bwi-pwm,67
2015,1,sdf-mdw,84
2015,1,stl-tul,31
2015,1,tpa-buf,63
2015,1,ric-bos,192
2015,1,lbb-iah,88
2015,1,ord-abq,27
2015,1,msp-bos,151
2015,1,dtw-pbi,38
2015,1,ewr-pwm,5
2015,2,hnl-dfw,60
2015,2,sfo-mia,84
2015,2,ord-rsw,206
2015,2,dfw-pbi,84
2015,2,okc-dfw,221
2015,2,atl-pvd,74
2015,2,iah-rdu,63
2015,2,okc-dtw,24
2015,2,lit-ord,152
2015,2,dfw-sav,84
2015,2,jax-bwi,80
2015,2,lga-mke,86
2015,2,oak-bur,312
2015,2,phx-san,424
2015,2,rsw-cak,32
2015,2,ord-sat,77
2015,2,den-gtf,56
2015,2,iah-boi,25
2015,2,bwi-phl,2
2015,2,syr-clt,45
2015,2,msy-mia,42
2015,2,iad-roa,1
2015,1,dtw-esc,53
2015,1,saf-lax,19
2015,1,lgb-sea,71
2015,1,sfo-sbp,155
2015,1,slc-abq,83
2015,1,brd-inl,2
2015,1,iah-hnl,31
2015,1,ogg-lax,227
2015,1,atl-san,179
2015,1,bna-cmh,58
2015,1,dal-lbb,144
2015,1,ecp-bna,32
2015,1,mdw-tus,31
2015,1,stl-dtw,80
2015,1,den-anc,31
2015,1,pdx-lgb,62
2015,1,cle-dca,120
2015,1,tys-ord,173
2015,1,atl-mbs,4
2015,1,guc-den,36
2015,1,stl-iad,9
2015,1,den-bmi,3
2015,1,cos-dfw,59
2015,1,dfw-sea,291
2015,1,atl-stt,69
2015,1,slc-ont,87
2015,1,cvg-msp,44
2015,1,dtw-eri,70
2015,1,ric-cae,1
2015,2,las-fll,84
2015,2,fll-aus,56
2015,2,pse-jfk,28
2015,2,mco-aus,80
2015,2,slc-hnl,28
2015,2,atl-mdt,78
2015,2,ewr-msy,99
2015,2,ewr-pvd,27
2015,2,ord-mqt,24
2015,2,dfw-mob,79
2015,2,fll-myr,28
2015,2,bhm-mdw,51
2015,2,stl-msy,56
2015,2,mkg-ord,56
2015,2,sbp-lax,168
2015,2,msp-bmi,11
2015,2,hnl-ord,28
2015,1,fll-acy,93
2015,1,iah-msy,250
2015,1,msy-ord,108
2015,1,rdd-sfo,92
2015,1,mry-phx,49
2015,1,ord-cle,441
2015,1,iah-pbi,35
2015,1,atl-rsw,336
2015,1,bwi-lit,27
2015,1,las-smf,229
2015,1,pvd-fll,88
2015,1,sdf-tpa,35
2015,1,oma-mdw,143
2015,1,ggg-dfw,54
2015,1,lbb-den,63
2015,1,atl-jan,207
2015,1,cid-atl,84
2015,1,dfw-row,89
2015,1,bdl-dfw,63
2015,1,sea-sat,31
2015,1,boi-msp,44
2015,1,lga-lit,26
2015,1,ewr-orf,51
2015,1,atl-mso,2
2015,1,clt-cvg,15
2015,2,aus-ord,137
2015,2,pdx-sea,154
2015,2,koa-pdx,28
2015,2,sea-koa,56
2015,2,lgb-sfo,84
2015,2,sju-ewr,88
2015,2,den-slc,538
2015,2,rdu-atl,384
2015,2,atl-hou,367
2015,2,cae-atl,211
2015,2,ric-atl,283
2015,2,lax-msy,156
