year,month,route,monthly_flight_count
2015,1,dtw-ord,527
2015,1,lws-slc,53
2015,1,slc-lgb,197
2015,1,lih-ogg,124
2015,1,den-ewr,232
2015,1,ewr-tpa,185
2015,1,den-clt,144
2015,1,fnt-bwi,35
2015,1,koa-den,9
2015,1,mke-ewr,84
2015,1,grr-ewr,49
2015,1,pdx-hnl,62
2015,1,dfw-jac,36
2015,1,iad-roa,4
2015,1,hsv-dtw,15
2015,2,dfw-okc,222
2015,2,jfk-fll,430
2015,2,sfo-fll,123
2015,2,fll-ric,28
2015,2,bos-buf,80
2015,2,bos-ewr,318
2015,2,slc-dtw,120
2015,2,atl-vps,153
2015,2,anc-las,12
2015,2,dtw-jax,12
2015,2,ric-iad,9
2015,2,lnk-ord,82
2015,2,mke-den,155
2015,2,gpt-dfw,83
2015,2,las-mci,132
2015,2,bwi-day,76
2015,2,dal-fll,56
2015,2,ecp-bna,28
2015,2,mdw-jax,28
2015,2,mdw-san,80
2015,2,phx-elp,110
2015,2,sat-stl,52
2015,2,sdf-bwi,71
2015,2,slc-btm,56
2015,2,ord-iad,142
2015,2,smf-iah,51
2015,2,lga-jax,16
2015,1,fsd-ord,191
2015,1,lax-smx,60
2015,1,phl-rsw,101
2015,1,buf-fll,70
2015,1,cak-bos,27
2015,1,fll-mke,54
2015,1,hou-chs,31
2015,1,hou-oak,55
2015,1,phx-atl,327
2015,1,atl-avl,170
2015,1,atl-abe,75
2015,1,aex-atl,109
2015,1,cle-atl,222
2015,1,fwa-dfw,58
2015,1,lgb-sfo,93
2015,1,pbi-dtw,38
2015,1,atl-sna,87
2015,1,dtw-ind,81
2015,1,anc-koa,10
2015,1,ord-fca,5
2015,2,dca-ord,476
2015,2,sat-dfw,404
2015,2,ord-phx,400
2015,2,koa-sjc,12
2015,2,atl-slc,195
2015,2,elp-atl,51
2015,2,msy-dtw,81
2015,2,sdf-atl,226
2015,2,pit-atl,258
2015,2,msy-lga,66
2015,2,iah-gsp,28
2015,2,msp-mem,30
2015,2,atl-bmi,71
2015,2,stl-las,96
2015,2,mco-iad,150
2015,2,den-msn,73
2015,2,sps-dfw,103
2015,2,lit-phx,28
2015,2,mem-tpa,28
2015,2,mht-mdw,52
2015,2,smf-den,178
2015,2,stl-phl,47
2015,2,den-eug,51
2015,2,tpa-ilg,8
